id;placa;descricao;tipo_automovel_id;pessoa_id
40bb5639-150f-4584-89d5-251cbd11428f;ABC1D23;Corolla Preto;83cce208-76b2-460a-94df-acbb8d5834e8;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
b6efd2d3-8303-4964-9028-d154ffb9f63e;ABC4D56;Nissan Versa Prata;ae7a5e40-809f-4a02-a26d-aacce0105a2a;41ea72dd-60f0-482b-979a-f044b4c6ba28
0b258638-e0f4-4350-84fa-5392a14dd5f0;7LUV110;Honda HRV Branco;58f7435a-6914-432c-88dd-1fbd4728b0b7;41ea72dd-60f0-482b-979a-f044b4c6ba28
459d7777-6385-4955-8c1b-b20a90951068;ABC1234;CG Vermelha;a2a8fa23-3442-405c-a773-907e4eb5a7c7;41ea72dd-60f0-482b-979a-f044b4c6ba28
44751e01-70a6-4017-8c6f-9dca7ac858be;EFG1H23;Biz Amarela;2add5414-411d-4d8f-b4d7-15e3cd942d7d;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
9671f496-0543-4bb3-8fc3-9db2407fb58a;EFG4H56;Falcon Preta;fc9b1d1d-9b2c-4457-b7e4-f281f9a9750b;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
11ef36a1-92ab-4c9f-bbae-f552321ae8c6;EFG7H89;Kombi Adesivos;963c2641-dced-433d-adf4-777a8f9aaa27;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
c313001b-cf46-4419-acc9-58630cd285f2;14010Y2;Mercedez Agua;4d71da1b-7e66-43e5-aac7-048246e86245;41ea72dd-60f0-482b-979a-f044b4c6ba28
2549fa5e-6047-42f5-931c-3de3b7df3c1f;IJK1L23;Volvo Mudancas;f9075b6b-88b6-4420-bbf6-8147437b5fb1;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
9c2eaf36-dacb-41a3-985e-309e6bdc1217;NAOACESSO;Modelo recusado;b12cc5ce-1a28-46e5-9de2-1181e8a1a62c;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
