id;descricao;endereco_id
84318dcb-fb02-4ac9-8a9f-56c6e34baf65;duh while;999832d9-fdb3-48a2-9e59-ee46620deddb
a173e646-e046-4bd8-8a44-6110faf6bfd7;distant yahoo;ee2bf355-7968-48a3-b22f-3c70c8fbc8e7
a191e1a4-ee43-47ba-bf6f-f88a4cddea10;apud;eba9b063-f0d6-4e84-b588-f092e91b426d
c187f28d-a59d-45aa-90a2-43aec8bf73d6;sauerkraut hubris;94a04f60-e909-446e-95bc-9ec00c04c45c
9c15f73d-a988-45d2-b7fd-def57ef64fc1;linseed;b8e7da78-9d18-4945-8b1f-c5f5f89cf040
5b385fdb-497c-4ffc-bbe2-86c8a598d989;warming accurate;75013b58-6820-4493-b4ab-d10f63a17866
0bdee426-4ffe-4c68-b257-2ae490d50fbe;unwieldy until;26a87007-3ee3-420d-acbb-3c983893484b
752221e0-7adf-4f96-9bc2-6ce79b952fe9;sandbar;24074a79-05cb-4a36-91dd-082baf7009bd
9b4bbd80-c33e-4d46-88ac-1aa32c0be912;cantaloupe meanwhile voluntarily;f275e608-a603-48d7-83bc-c23a9c6182d5
3c115e7d-1e8a-4c8f-9f47-88781e261d86;concerning;26e9efdd-d08a-48b8-bc18-ac9668ff43ee
