id;bloco;andar;numero;endereco_id;pessoa_id
91dc24ed-c45e-42f6-853b-93c0e59c9736;Torre A;1;A11;999832d9-fdb3-48a2-9e59-ee46620deddb;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
f1e7ec88-cc90-401a-bfe8-c55eb014396a;Torre A;2;A22;999832d9-fdb3-48a2-9e59-ee46620deddb;41ea72dd-60f0-482b-979a-f044b4c6ba28
f44cec86-b43f-4d94-b70b-e52656078380;Torre A;3;A33;999832d9-fdb3-48a2-9e59-ee46620deddb;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
e5f079bd-9da7-41d6-b634-3187d6cdfafb;Torre A;4;A44;999832d9-fdb3-48a2-9e59-ee46620deddb;41ea72dd-60f0-482b-979a-f044b4c6ba28
4115f23f-bb24-4e12-9f6b-998e31b6e081;Torre A;5;A55;999832d9-fdb3-48a2-9e59-ee46620deddb;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
d6799765-7540-48b5-842f-a1ed688f7db3;Torre B;1;B11;ee2bf355-7968-48a3-b22f-3c70c8fbc8e7;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
21639561-8fc1-4802-9b90-0b27965e1457;Torre B;2;B22;ee2bf355-7968-48a3-b22f-3c70c8fbc8e7;41ea72dd-60f0-482b-979a-f044b4c6ba28
5684737e-51c3-4deb-bcfa-62887f0ccb54;Torre B;3;B33;ee2bf355-7968-48a3-b22f-3c70c8fbc8e7;41ea72dd-60f0-482b-979a-f044b4c6ba28
18e7e99d-a874-4b43-9820-23065deee881;Torre B;4;B44;ee2bf355-7968-48a3-b22f-3c70c8fbc8e7;41ea72dd-60f0-482b-979a-f044b4c6ba28
ddb8022c-2cb0-417e-b521-e66dcda2024e;Torre B;5;B55;ee2bf355-7968-48a3-b22f-3c70c8fbc8e7;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8

