id;descricao;grupo
8b3ecccc-e226-4098-9e73-60be26630aaf;where;OUTRO
b1bf8dda-5f8d-4394-bee3-8c4ab2375cf8;unwieldy wreck charming;CAMINHAO
40680798-582d-4e5a-a8ef-71a957ea4b05;pitch if;CARRO
0d3a2aac-1cee-470b-8140-d52ad27a394e;commodity yippee variable;MOTO
76c4de0f-d1fa-4797-9a4f-dc05084f0764;offensively;CAMINHAO
3104a3e2-8c58-43da-bd01-cf3bdd24f742;ack demilitarize;CAMINHAO
871a56f0-40a9-4f1a-85ba-17f715fb48a9;quietly jaggedly acceptance;OUTRO
54c27373-339e-4087-b4e9-4ce7bb57ad7c;into clam;MOTO
de173599-fde3-4648-9d89-4ca4b4f13979;whose excited ick;MOTO
516dfd68-cf04-46de-8761-653e634c0d19;furthermore;OUTRO
